year,auth_id,cumulative_deficit
2007,1268,-322.0
2008,1268,-295.0
2009,1268,-301.0
2010,1268,-2089.0
2011,1268,-4503.0
2012,1268,-8903.0
2013,1268,-11581.0
2014,1268,-12978.0
2015,1268,-9060.0
2016,1268,-9043.0
2017,1268,-11495.0
2018,1268,-12.377
2019,1268,-10.139
2020,1268,-5.689
2021,1268,-2.425
2022,1268,-2.096
1999,1271,
2000,1271,362.0
2001,1271,-499.0
2002,1271,-650.0
2003,1271,-1075.0
2004,1271,-1391.0
2005,1271,-1473.0
2006,1271,
2007,1271,-1279.0
2008,1271,
2009,1271,-1449.0
2010,1271,-4381.0
2011,1271,-4922.0
2012,1271,-5174.0
2013,1271,-4706.0
2014,1271,-4159.0
2015,1271,-3659.0
2016,1271,41.0
2017,1271,360.0
2018,1271,0.018
2019,1271,-0.287
2020,1271,0.147
2021,1271,0.604
2022,1271,0.614
1999,1304,
2000,1304,655.0
2001,1304,-616.0
2002,1304,-574.0
2003,1304,-522.0
2004,1304,-421.0
2005,1304,-7.0
2006,1304,-1.0
2007,1304,66.0
2008,1304,
2009,1304,468.0
2010,1304,592.0
2011,1304,825.0
2012,1304,1897.0
2013,1304,1716.0
2014,1304,1145.0
2015,1304,1702.0
2016,1304,2997.0
2017,1304,5956.0
2018,1304,10.527
2019,1304,11.399
2020,1304,13.084
2021,1304,13.935
2022,1304,15.012
1999,1309,
2000,1309,
2001,1309,-465.0
2002,1309,-606.0
2003,1309,-2712.0
2004,1309,-14397.0
2005,1309,-12145.0
2006,1309,
2007,1309,-6547.0
2008,1309,
2009,1309,-5180.0
2010,1309,-3517.0
2011,1309,-6633.0
2012,1309,-10834.0
2013,1309,-9867.0
2014,1309,-8817.0
2015,1309,-8800.0
2016,1309,-8792.0
2017,1309,-8526.0
2018,1309,-8.484
2019,1309,-8.343
2020,1309,-7.783
2021,1309,-7.667
2022,1309,-7.538
1999,2034,
2000,2034,
2001,2034,-441.0
2002,2034,-4269.0
2003,2034,-26078.0
2004,2034,-25868.0
2005,2034,-17583.0
2006,2034,
2007,2034,-7814.0
2008,2034,
2009,2034,-20896.0
2010,2034,-24620.0
2011,2034,-11505.0
2012,2034,-7336.0
2013,2034,-10254.0
2014,2034,-6359.0
2015,2034,-2617.0
2016,2034,-1724.0
2017,2034,-1631.0
2018,2034,-4.736
2019,2034,-4.548
2020,2034,-4.444
2021,2034,-4.439
2022,2034,-4.324
1999,2100,
2000,2100,
2001,2100,
2002,2100,
2003,2100,-3198.0
2004,2100,-3252.0
2005,2100,-3221.0
2006,2100,
2007,2100,-3800.0
2008,2100,
2009,2100,-8720.0
2010,2100,-8648.0
2011,2100,-5122.0
2012,2100,-8557.0
2013,2100,-9399.0
2014,2100,-9345.0
2015,2100,-7258.0
2016,2100,-4013.0
2017,2100,-3836.0
2018,2100,-3.753
2019,2100,-3.71
2020,2100,-3.689
2021,2100,-3.679
2022,2100,-3.667
1999,2200,
2000,2200,
2001,2200,
2002,2200,
2003,2200,-36858.0
2004,2200,-39171.0
2005,2200,-21043.0
2006,2200,
2007,2200,-27641.0
2008,2200,
2009,2200,-28788.0
2010,2200,-27996.0
2011,2200,-28729.0
2012,2200,-28620.0
2013,2200,-23572.0
2014,2200,-25468.0
2015,2200,-23458.0
2016,2200,-9140.0
2017,2200,-8208.0
2018,2200,-7.195
2019,2200,-6.857
2020,2200,-6.788
2021,2200,-6.586
2022,2200,-6.694
1999,2300,
2000,2300,
2001,2300,
2002,2300,-1961.0
2003,2300,-4531.0
2004,2300,-6220.0
2005,2300,-6291.0
2006,2300,
2007,2300,-5690.0
2008,2300,
2009,2300,-13666.0
2010,2300,-13389.0
2011,2300,-13344.0
2012,2300,-13306.0
2013,2300,-13295.0
2014,2300,-13262.0
2015,2300,-13243.0
2016,2300,-12588.0
2017,2300,-12572.0
2018,2300,-12.516
2019,2300,-12.554
2020,2300,-11.879
2021,2300,-11.835
2022,2300,-11.812
1999,2400,
2000,2400,
2001,2400,
2002,2400,
2003,2400,-54300.0
2004,2400,-60394.0
2005,2400,-57191.0
2006,2400,
2007,2400,-45131.0
2008,2400,
2009,2400,-23339.0
2010,2400,-22812.0
2011,2400,-22669.0
2012,2400,-22474.0
2013,2400,-22331.0
2014,2400,-22251.0
2015,2400,-25619.0
2016,2400,-28309.0
2017,2400,-36900.0
2018,2400,-40.463
2019,2400,-40.359
2020,2400,-40.034
2021,2400,-39.711
2022,2400,-39.68
1999,2500,
2000,2500,
2001,2500,884.0
2002,2500,
2003,2500,
2004,2500,
2005,2500,2282.0
2006,2500,
2007,2500,3835.0
2008,2500,
2009,2500,6093.0
2010,2500,7481.0
2011,2500,7695.0
2012,2500,9470.0
2013,2500,10119.0
2014,2500,6141.0
2015,2500,7203.0
2016,2500,7936.0
2017,2500,11132.0
2018,2500,12.803
2019,2500,14.063
2020,2500,14.27
2021,2500,18.6
2022,2500,14.201
1999,2530,
2000,2530,
2001,2530,
2002,2530,-6264.0
2003,2530,-11717.0
2004,2530,-14988.0
2005,2530,-14852.0
2006,2530,
2007,2530,
2008,2530,
2009,2530,-14241.0
2010,2530,-14613.0
2011,2530,-13359.0
2012,2530,-40713.0
2013,2530,-79584.0
2014,2530,-99267.0
2015,2530,-69047.0
2016,2530,-63483.0
2017,2530,-38480.0
2018,2530,-14.023
2019,2530,-13.98
2020,2530,-13.557
2021,2530,-8.877
2022,2530,-8.649
1999,2550,
2000,2550,
2001,2550,
2002,2550,-29710.0
2003,2550,-35553.0
2004,2550,-36264.0
2005,2550,-34863.0
2006,2550,
2007,2550,-28200.0
2008,2550,
2009,2550,-31575.0
2010,2550,-30989.0
2011,2550,-29946.0
2012,2550,-29415.0
2013,2550,-29130.0
2014,2550,-28579.0
2015,2550,-28415.0
2016,2550,-21072.0
2017,2550,-18546.0
2018,2550,-1.613
2019,2550,-1.681
2020,2550,-1.831
